name,age,phone,email
Alice ,25,0781234567,  alice@example.com
Bob,30,+94719876543,bob@example.com   
    Charlie,22,0765678987,  charlie@example.com
Charlie,22,+94765678987,charlie@example.com
Eve,29,,  eve@example.com
Frank,35,   0772345678,     frank@example.com
George,40, 0713456789,george@example.com   
Hannah,27, 0709876543 , hannah@example.com  
Ian,33, 0754567890,   ian@example.com
Jack,28,0791234567,jack@example.com
Katie,26, 0787654321,    katie@example.com  
Liam,31, 0722345678 ,liam@example.com
Mia,24, +94776781234,  mia@example.com 
Noah,37, 0703456789 , noah@example.com
Olivia,29,0769876543,   olivia@example.com  
Paul,, +94784567890,paul@example.com
   Quinn,45,0725678901,  quinn@example.com
Rachel,30,,rachel@example.com  
Steve,, 0756789012,   steve@example.com
Tom,36, 0771239876,tom@example.com   
Uma,27, 0717892345 , uma@example.com
Victor,, 0704567890,victor@example.com  
Wendy,29, +94799876543 , wendy@example.com  
Xavier,39,, xavier@example.com 
Yvonne,28, 0753456789,   
Zach,33, 0776543210, zach@example.com
