customerId,name,city,phone,age,ssn,email
C01,John,Austin,(555) 555-7873,18,5naOD5ui6w0gmRCR+0RuQw==,LjmB3+7NSV6ZlEdPPBQomUh1+/xvW0Bs5hQg7trOKf0=
C02,Nick,New York,(555) 555-8823,25,JtHk/bceWD93aoHWa8uy6A==,Fx8qn3dEcCjj30HQF6typ0h1+/xvW0Bs5hQg7trOKf0=
C03,Paul,Sydney,(555) 555-9032,35,gmAovpB9zq3D7uPwShyqzQ==,qSQC9/roPb9HbSrWhX9DEEh1+/xvW0Bs5hQg7trOKf0=
C04,Jo,Austin,(555) 555-9120,45,69Nl+Bh2BJBn//rFVaEVLw==,akUL+EEYQZRZ2oC06VFlCw==
C05,Larry,Chicago,(555) 555-3022,23,1ksyF7Lr2L1EaW+mr38vpQ==,upSxZ5AU4OOC9r49xRW/wHqlpbgc1QAlEnsspzvUiuc=
C06,James,Portland,(555) 555-3299,23,qfzg0IeRhAK9iNuiVghYGQ==,OkdY/7+9UFtsuCxH3rxBRXqlpbgc1QAlEnsspzvUiuc=
C07,Smith,Denver,(555) 555-2313,17,T6a/vHzV8TYkYOIp3ZzYFA==,XsuQAKfeW3GY21t8D84l4nqlpbgc1QAlEnsspzvUiuc=
C08,Rob,Boston,(555) 555-3124,90,vtncBnrlsVwtZR1c0mbQWg==,p2T45nHv6J7EPBv+DD1t3g==
C09,Kate,Dallas,(555) 555-3214,40,m50jsI5HMq/eenTDvilPuA==,2ZeWZFHz4uIcHYplF0AS7Eh1+/xvW0Bs5hQg7trOKf0=
C10,Tim,Miami,(555) 555-3123,50,j7t6M7jPw7pV2jWvGF9GBg==,5dOsTew85CnwDnDp7yz70A==
