customerId,name,city,phone,age,ssn,email
C01,xxxx,Austin,(xxx) xxx-xxxx,18,xxx-xx-xxxx,xxxxxxxxxxxxx
C02,xxx,New York,(xxx) xxx-xxxx,25,xxx-xx-xxxx,xxxxxxxxxxxxx
C03,xxxx,Sydney,(xxx) xxx-xxxx,35,xxx-xx-xxxx,xxxxxxxxxxxxx
C04,xx,Austin,(xxx) xxx-xxxx,45,xxx-xx-xxxx,xxxxxxxxxxxxx
C05,xxxxx,Chicago,(xxx) xxx-xxxx,23,xxx-xx-xxxx,xxxxxxxxxxxxx
C06,xxxxx,Portland,(xxx) xxx-xxxx,23,xxx-xx-xxxx,xxxxxxxxxxxxx
C07,xxxxx,Denver,(xxx) xxx-xxxx,17,xxx-xx-xxxx,xxxxxxxxxxxxx
C08,xxx,Boston,(xxx) xxx-xxxx,90,xxx-xx-xxxx,xxxxxxxxxxx
C09,xxxx,Dallas,(xxx) xxx-xxxx,40,xxx-xx-xxxx,xxxxxxxxxxxxx
C10,xxx,Miami,(xxx) xxx-xxxx,50,xxx-xx-xxxx,xxxxxxxxxxx
